Date,Open,High,Low,Close,Adj Close,Volume
17-09-2014,4.7725,4.8325,4.75,4.7875,4.578554,17358400
18-09-2014,4.8175,4.865,4.8025,4.86,4.647889,21960400
19-09-2014,4.875,4.88,4.7625,4.77,4.56182,60131600
22-09-2014,4.8675,4.8675,4.7175,4.7225,4.516392,22146400
23-09-2014,4.6975,4.755,4.68,4.7025,4.497263,19614400
24-09-2014,4.7,4.745,4.695,4.73,4.523564,15959200
25-09-2014,4.725,4.7375,4.6175,4.6275,4.425538,29844000
26-09-2014,4.6425,4.6725,4.6225,4.6375,4.435101,24118800
29-09-2014,4.6,4.6625,4.555,4.63,4.42793,20854000
30-09-2014,4.61,4.645,4.5575,4.6125,4.411192,27720400
01-10-2014,4.62,4.6525,4.555,4.5675,4.368155,35097600
02-10-2014,4.56,4.5825,4.4425,4.5475,4.34903,28899600
03-10-2014,4.575,4.6375,4.5575,4.5575,4.358592,23914000
06-10-2014,4.575,4.6125,4.5,4.53,4.332294,19903200
07-10-2014,4.51,4.555,4.4775,4.4825,4.286866,30189600
08-10-2014,4.4775,4.5875,4.4425,4.565,4.365767,26017200
09-10-2014,4.545,4.55,4.44,4.4775,4.282083,30695600
10-10-2014,4.4425,4.4575,4.21,4.2125,4.028649,69137600
13-10-2014,4.24,4.325,4.1925,4.1975,4.014305,39762800
14-10-2014,4.255,4.4125,4.23,4.295,4.10755,37662000
15-10-2014,4.2325,4.3825,4.205,4.36,4.169713,40442800
16-10-2014,4.2825,4.4125,4.2725,4.3625,4.172104,35111600
17-10-2014,4.415,4.465,4.3375,4.355,4.164932,29071600
20-10-2014,4.355,4.4325,4.325,4.3925,4.200792,20033600
21-10-2014,4.425,4.585,4.4125,4.58,4.38011,35109200
22-10-2014,4.5725,4.5875,4.4725,4.4725,4.277301,23951200
23-10-2014,4.55,4.605,4.5175,4.5725,4.372937,21447600
24-10-2014,4.6,4.6475,4.5725,4.62,4.418366,21015600
27-10-2014,4.6175,4.64,4.5675,4.6225,4.420757,14509200
28-10-2014,4.61,4.7375,4.605,4.7325,4.525955,19258000
29-10-2014,4.7125,4.74,4.66,4.7025,4.497263,16834000
30-10-2014,4.69,4.71,4.6125,4.6725,4.468573,17026000
31-10-2014,4.78,4.8875,4.755,4.885,4.6718,25631600
03-11-2014,4.9975,5.015,4.9425,4.9675,4.7507,30873200
04-11-2014,5,5.05,4.9175,5.0325,4.812865,36019600
05-11-2014,5.0625,5.065,4.995,5.0325,4.812865,33565200
06-11-2014,5.0425,5.0625,4.965,5.055,4.834379,39408800
07-11-2014,5.1125,5.1725,4.8975,4.9475,4.731573,45080000
10-11-2014,4.9425,5.0375,4.93,5.005,4.786562,29338800
11-11-2014,4.975,5.0025,4.9025,4.945,4.729182,21299200
12-11-2014,4.9275,4.94,4.845,4.9125,4.698099,20458400
13-11-2014,4.93,4.9375,4.8475,4.8875,4.67419,22532800
14-11-2014,4.8925,4.9475,4.845,4.9475,4.731573,16024800
17-11-2014,4.925,4.9775,4.8925,4.925,4.710052,15873200
18-11-2014,4.9275,5.055,4.915,5.0425,4.822425,20777200
19-11-2014,5.025,5.04,4.95,5.0025,4.804418,24030000
20-11-2014,4.9675,5.09,4.9525,5.085,4.883653,22096800
21-11-2014,5.13,5.1375,5.07,5.1125,4.910062,19897600
24-11-2014,5.125,5.1675,5.105,5.145,4.941275,13600400
25-11-2014,5.135,5.18,5.125,5.1425,4.938876,19024000
26-11-2014,5.1125,5.235,5.11,5.23,5.02291,21926400
28-11-2014,5.2475,5.2725,5.2,5.2425,5.034913,12483200
01-12-2014,5.22,5.25,5.1375,5.145,4.941275,19006000
02-12-2014,5.14,5.175,5.0925,5.1525,4.948478,24595200
03-12-2014,5.1775,5.2875,5.1625,5.285,5.075731,28442400
04-12-2014,5.2775,5.2975,5.2025,5.2375,5.030112,18533200
05-12-2014,5.24,5.295,5.2375,5.2675,5.058925,16568000
08-12-2014,5.26,5.3125,5.1575,5.2,4.994097,22694400
09-12-2014,5.1675,5.195,5.09,5.1825,4.97729,23944800
10-12-2014,5.1675,5.1875,5.0625,5.0675,4.866845,20436400
11-12-2014,5.0975,5.1325,5.055,5.065,4.864441,13565200
12-12-2014,4.9975,5.0425,4.9025,4.9075,4.713179,32396400
15-12-2014,4.965,5.055,4.8775,4.8925,4.698775,25469600
16-12-2014,4.8875,4.965,4.835,4.8375,4.645952,18530800
17-12-2014,4.935,5.0425,4.775,5.035,4.835632,34559600
18-12-2014,5.0975,5.1575,5.0075,5.055,4.854839,22615600
19-12-2014,5.09,5.125,5.0425,5.105,4.90286,32552800
22-12-2014,5.1,5.195,5.0825,5.195,4.989297,14897600
23-12-2014,5.235,5.26,5.1575,5.1625,4.958082,10928000
24-12-2014,5.175,5.1825,5.1375,5.1425,4.938876,4564400
26-12-2014,5.1425,5.175,5.13,5.1475,4.943677,5263600
29-12-2014,5.1325,5.175,5.1075,5.14,4.936474,8294400
30-12-2014,5.105,5.13,5.085,5.0925,4.890853,11212000
31-12-2014,5.1,5.1275,4.9975,5.0125,4.814021,16630000
02-01-2015,5.0325,5.07,4.9525,5.0325,4.833231,11368000
05-01-2015,5.0325,5.0475,4.925,4.9475,4.751595,19795200
06-01-2015,4.955,4.96,4.7925,4.7975,4.607535,19776400
07-01-2015,4.8325,4.875,4.77,4.785,4.595529,32180800
08-01-2015,4.84,4.995,4.8375,4.965,4.768404,28378000
09-01-2015,4.9825,5.0225,4.915,4.985,4.787611,20954000
12-01-2015,4.9975,5,4.8775,4.9225,4.727586,19073200
13-01-2015,4.96,5.06,4.88,4.915,4.720384,23672000
14-01-2015,4.8625,4.95,4.85,4.935,4.739591,15526000
15-01-2015,4.97,5,4.8975,4.9,4.705977,18893200
16-01-2015,4.8925,4.995,4.8775,4.99,4.792412,18151200
20-01-2015,5.025,5.0525,4.9425,5.005,4.80682,14030800
21-01-2015,4.9775,5.0875,4.9425,5.075,4.874047,14478000
22-01-2015,5.085,5.1775,5.0325,5.1625,4.958082,15971200
23-01-2015,5.1675,5.1875,5.125,5.1775,4.972488,12041600
26-01-2015,5.155,5.18,5.1225,5.155,4.950881,13324000
27-01-2015,5.075,5.08,4.8975,4.9075,4.713179,35794800
28-01-2015,4.9675,4.9875,4.825,4.8275,4.636348,27272800
29-01-2015,4.83,4.9725,4.8075,4.945,4.749196,23534000
30-01-2015,4.91,4.9675,4.7925,4.8,4.609938,29820000
02-02-2015,4.83,4.925,4.735,4.905,4.71078,25960400
03-02-2015,4.94,5.0325,4.915,5.0275,4.828428,18346800
04-02-2015,5.0125,5.0975,4.9975,5.04,4.840435,18151600
05-02-2015,5.045,5.125,5.04,5.1225,4.919666,14044800
06-02-2015,5.1175,5.1775,5.0775,5.1,4.898058,21052400
09-02-2015,5.07,5.11,5.0375,5.095,4.893256,27394400
10-02-2015,5.1,5.24,5.0775,5.2375,5.030112,22620400
11-02-2015,5.25,5.25,5.1675,5.2025,4.9965,32083200
12-02-2015,5.5,5.625,5.4675,5.575,5.354249,67690400
13-02-2015,5.5625,5.585,5.4775,5.5775,5.356648,31008400
17-02-2015,5.5675,5.6225,5.5325,5.595,5.373458,20334000
18-02-2015,5.5875,5.5975,5.52,5.53,5.31103,17094800
19-02-2015,5.6,5.61,5.52,5.545,5.325438,16943200
20-02-2015,5.54,5.5875,5.5,5.585,5.363852,15775200
23-02-2015,5.5825,5.5825,5.5125,5.54,5.320636,12500800
24-02-2015,5.54,5.5775,5.49,5.5775,5.377276,14935600
25-02-2015,5.555,5.58,5.51,5.535,5.336301,12382000
26-02-2015,5.54,5.5825,5.505,5.55,5.350762,15286400
27-02-2015,5.535,5.5475,5.495,5.515,5.317019,15749200
02-03-2015,5.5,5.68,5.4925,5.65,5.447174,30151200
03-03-2015,5.6075,5.635,5.5275,5.545,5.345943,16034400
04-03-2015,5.525,5.62,5.5025,5.6075,5.406198,22684000
05-03-2015,5.6075,5.725,5.5925,5.715,5.50984,32305600
06-03-2015,5.6825,5.71,5.6325,5.6375,5.435122,25739200
09-03-2015,5.64,5.695,5.6275,5.6525,5.449585,22238800
10-03-2015,5.6775,5.7875,5.6675,5.75,5.543582,52721200
11-03-2015,5.75,5.825,5.705,5.72,5.51466,26212000
12-03-2015,5.665,5.7075,5.56,5.6675,5.464046,40697200
13-03-2015,5.64,5.69,5.5625,5.675,5.471276,35928800
16-03-2015,5.72,5.7775,5.6825,5.7425,5.536353,23695600
17-03-2015,5.73,5.815,5.69,5.8125,5.60384,29990000
18-03-2015,5.8125,5.8425,5.665,5.7175,5.51225,41384400
19-03-2015,5.7375,5.825,5.695,5.805,5.59661,31075600
20-03-2015,5.8525,5.9025,5.7975,5.8675,5.656866,46208400
23-03-2015,5.6925,5.7675,5.675,5.6775,5.473685,42601200
24-03-2015,5.66,5.7,5.575,5.6,5.398968,33048000
25-03-2015,5.5975,5.5975,5.2425,5.26,5.071174,54255200
26-03-2015,5.1525,5.265,5.115,5.2425,5.0543,31192000
27-03-2015,5.2725,5.365,5.1875,5.345,5.153122,31828800
30-03-2015,5.37,5.395,5.3,5.3675,5.174815,25325200
31-03-2015,5.3525,5.3575,5.2275,5.2325,5.04466,35727600
01-04-2015,5.2525,5.27,5.1625,5.2525,5.063944,33076800
02-04-2015,5.2825,5.2975,5.22,5.265,5.075992,19220400
06-04-2015,5.2425,5.435,5.1875,5.4175,5.22302,51586400
07-04-2015,5.4175,5.525,5.3875,5.465,5.268815,41396400
08-04-2015,5.47,5.525,5.4175,5.505,5.307378,36643200
09-04-2015,5.4625,5.65,5.46,5.6325,5.430302,37943200
10-04-2015,5.6375,5.6925,5.6175,5.69,5.485737,25872800
13-04-2015,5.6775,5.71,5.6125,5.6375,5.435122,23672400
14-04-2015,5.615,5.6375,5.535,5.59,5.389328,22027600
15-04-2015,5.605,5.7,5.5775,5.6575,5.454404,24356000
16-04-2015,5.625,5.6725,5.5825,5.6225,5.42066,15528400
17-04-2015,5.505,5.605,5.5025,5.55,5.350762,29363600
20-04-2015,5.575,5.61,5.5125,5.5225,5.32425,23162400
21-04-2015,5.59,5.59,5.4875,5.515,5.317019,23045600
22-04-2015,5.5475,5.585,5.4625,5.5775,5.377276,20742000
23-04-2015,5.475,5.6075,5.4125,5.555,5.355584,25938000
24-04-2015,5.5525,5.555,5.445,5.5075,5.309789,24096000
27-04-2015,5.525,5.6475,5.4775,5.55,5.350762,24845600
28-04-2015,5.54,5.5975,5.4875,5.5775,5.377276,23448400
